name,country,country_code,city,address,latitude,longitude,parent_group,website,founded_year,total_assets_millions_eur,customer_count_thousands,deposit_volume_millions_eur,loan_volume_millions_eur,employee_count,branch_count,reporting_year,mobile_banking,mobile_banking_evidence,open_banking,open_banking_evidence,digital_onboarding,digital_onboarding_evidence,ai_chatbot,ai_chatbot_evidence,devops_cloud,devops_cloud_evidence,featured
Sparkasse Marburg-Biedenkopf,Germany,DE,Marburg,,50.8090106,8.7704695,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Passau,Germany,DE,Passau,,48.5748229,13.4609744,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Pforzheim Calw,Germany,DE,Pforzheim,,48.890934,8.7025509,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Uckermark,Germany,DE,Prenzlau,,53.3167,13.866575,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Mittelbrandenburgische Sparkasse in Potsdam,Germany,DE,Potsdam,,52.4009309,13.0591397,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Saarbrücken,Germany,DE,Saarbrücken,,49.234362,6.996379,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Saarlouis,Germany,DE,Saarlouis,,49.3164661,6.749846,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Stadtsparkasse Schwedt,Germany,DE,Schwedt/Oder,,53.0586366,14.2840858,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Schweinfurt-Haßberge,Germany,DE,Schweinfurt,,50.0499318,10.2335087,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Mecklenburg-Schwerin,Germany,DE,Schwerin,,53.6288297,11.4148038,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Siegen,Germany,DE,Siegen,,50.8751175,8.0256131,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Hohenzollerische Landesbank Kreissparkasse Sigmaringen,Germany,DE,Sigmaringen,,48.0869139,9.2165039,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Hegau-Bodensee,Germany,DE,Singen,,47.7617515,8.8348709,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Stadt-Sparkasse Solingen,Germany,DE,Solingen,,51.1721629,7.0845893,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Sonneberg,Germany,DE,Sonneberg,,50.3575412,11.1691714,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Stade,Germany,DE,Stade,,53.599794,9.475438,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Niederbayern-Mitte,Germany,DE,Straubing,,48.8839157,12.5955773,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Märkisch-Oderland,Germany,DE,Strausberg,,52.5588942,13.9042481,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Diepholz,Germany,DE,Syke,,52.9131332,8.8198737,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Traunstein-Trostberg,Germany,DE,Traunstein,,47.8695272,12.6484621,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Trier,Germany,DE,Trier,,49.7596208,6.6441878,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Tübingen,Germany,DE,Tübingen,,48.5203263,9.053596,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Ulm,Germany,DE,Ulm,,48.3984968,9.9912458,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Sparkasse Hilden-Ratingen-Velbert,Germany,DE,Velbert,,51.3406713,7.0439912,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
Kreissparkasse Verden,Germany,DE,Verden (Aller),,52.9410676,9.2354716,Sparkassen-Finanzgruppe,,,,,,,,,,none,,none,,none,,none,,none,,false
